Source,Target,Weight,Label (currently just name of target doc)
dhq-000004,dhq-000076,5.382522037,dhq-000076
dhq-000004,dhq-000077,4.482279264,dhq-000077
dhq-000004,dhq-000078,4.536399844,dhq-000078
dhq-000004,dhq-000079,3.624876334,dhq-000079
dhq-000004,dhq-000080,6.089577656,dhq-000080
dhq-000004,dhq-000081,6.147527333,dhq-000081
dhq-000004,dhq-000082,7.110743785,dhq-000082
dhq-000004,dhq-000083,6.058911055,dhq-000083
dhq-000004,dhq-000084,4.357689866,dhq-000084
dhq-000004,dhq-000085,4.001735893,dhq-000085
dhq-000004,dhq-000086,5.910410612,dhq-000086
dhq-000004,dhq-000087,5.834154202,dhq-000087
dhq-000004,dhq-000088,5.615478074,dhq-000088
dhq-000004,dhq-000089,5.355893274,dhq-000089
dhq-000004,dhq-000090,6.517217262,dhq-000090
dhq-000004,dhq-000091,5.86037779,dhq-000091
dhq-000004,dhq-000092,6.661123163,dhq-000092
dhq-000004,dhq-000093,5.020828611,dhq-000093
dhq-000004,dhq-000094,6.908519286,dhq-000094
dhq-000004,dhq-000095,4.324670149,dhq-000095
dhq-000004,dhq-000096,5.467195252,dhq-000096
dhq-000004,dhq-000097,6.011963244,dhq-000097
dhq-000004,dhq-000098,5.42190822,dhq-000098
dhq-000004,dhq-000099,5.65474133,dhq-000099
dhq-000004,dhq-000100,4.666082828,dhq-000100
dhq-000004,dhq-000101,6.857844134,dhq-000101
dhq-000004,dhq-000102,3.513427701,dhq-000102
dhq-000004,dhq-000103,4.629171789,dhq-000103
dhq-000004,dhq-000104,5.959435841,dhq-000104
dhq-000004,dhq-000105,5.772229471,dhq-000105
dhq-000004,dhq-000106,5.632361921,dhq-000106
dhq-000004,dhq-000107,5.426340493,dhq-000107
dhq-000004,dhq-000108,5.354390979,dhq-000108
dhq-000004,dhq-000109,3.905917252,dhq-000109
dhq-000004,dhq-000110,4.902459618,dhq-000110
dhq-000005,dhq-000006,4.937047781,dhq-000006
dhq-000005,dhq-000007,4.430997871,dhq-000007
dhq-000005,dhq-000008,5.175626411,dhq-000008
dhq-000005,dhq-000009,8.017005245,dhq-000009
dhq-000005,dhq-000010,7.133474405,dhq-000010
dhq-000005,dhq-000011,6.397452138,dhq-000011
dhq-000005,dhq-000012,5.200566374,dhq-000012
dhq-000005,dhq-000013,5.016923299,dhq-000013
dhq-000005,dhq-000014,4.191807392,dhq-000014
dhq-000005,dhq-000015,7.05481396,dhq-000015
dhq-000005,dhq-000016,6.051932591,dhq-000016
dhq-000005,dhq-000017,5.615230192,dhq-000017
dhq-000005,dhq-000018,4.561965112,dhq-000018
dhq-000005,dhq-000019,7.299360287,dhq-000019
dhq-000005,dhq-000020,4.956505945,dhq-000020
dhq-000005,dhq-000021,5.633287336,dhq-000021
dhq-000005,dhq-000022,5.615063162,dhq-000022
dhq-000005,dhq-000023,6.807617449,dhq-000023
dhq-000005,dhq-000024,6.593433596,dhq-000024
dhq-000005,dhq-000025,4.434958705,dhq-000025
dhq-000005,dhq-000026,6.962027013,dhq-000026
